138 135 136
135 150 136
135 169 150
169 149 150
169 170 149
140 149 170
140 176 149
171 176 140
171 148 176
171 152 148
171 175 152
227 116 123
227 123 137
137 123 147
137 147 177
177 147 213
177 213 215
215 213 192
215 192 138
192 214 135
192 135 138
135 214 210
135 210 169
210 211 170
210 170 169
170 211 32
170 32 140
140 32 208
140 208 171
208 199 175
208 175 171
116 111 117
116 117 123
117 50 123
123 50 187
123 187 147
147 187 192
147 192 213
207 214 192
207 192 187
216 212 214
216 214 207
212 202 210
212 210 214
202 204 211
202 211 210
194 32 211
194 211 204
201 208 32
201 32 194
200 199 208
200 208 201
31 228 117
31 117 111
117 228 118
117 118 50
101 205 50
101 50 118
205 207 187
205 187 50
206 216 207
206 207 205
92 186 216
92 216 206
186 57 212
186 212 216
43 202 212
43 212 57
106 204 202
106 202 43
182 194 204
182 204 106
182 83 201
182 201 194
83 18 200
83 200 201
232 233 128
232 128 121
231 232 121
231 121 120
230 231 120
230 120 119
229 230 119
229 119 118
228 229 118
121 128 114
121 114 47
120 121 47
120 47 100
119 120 100
119 100 101
118 119 101
100 142 36
100 36 101
36 142 129
36 129 203
203 129 98
203 98 165
98 97 167
98 167 165
97 2 164
97 164 167
101 36 205
36 203 206
36 206 205
203 98 165
203 165 206
206 165 92
114 174 217
47 114 217
47 217 126
100 47 126
100 126 142
197 195 3
197 3 196
196 3 236
196 236 174
174 236 198
174 198 217
126 217 198
126 198 209
142 126 209
142 209 129
195 5 51
195 51 3
236 3 51
236 51 134
198 236 134
198 134 131
198 131 49
198 49 209
209 49 129
5 4 45
5 45 51
134 51 45
134 45 220
131 134 220
131 220 115
131 115 48
131 48 49
49 48 102
49 102 129
102 48 64
102 64 129
64 240 98
64 98 129
240 97 98
45 4 1
45 1 44
220 45 44
220 44 237
220 237 218
220 218 115
115 218 219
115 219 48
219 235 64
219 64 48
64 235 240
44 1 19
44 19 125
44 125 241
237 44 241
237 241 239
218 237 239
218 239 79
125 19 94
125 94 141
241 125 141
241 141 242
238 241 242
238 242 20
239 241 238
239 238 79
79 238 20
79 20 60
218 79 166
218 166 219
219 166 59
219 59 235
141 94 2
141 2 97
242 141 97
242 97 99
20 242 99
20 99 60
166 79 60
240 99 97
75 60 99
75 99 240
64 235 240
235 59 75
235 75 240
166 60 75
166 75 59
164 0 37
164 37 167
167 37 39
167 39 165
92 165 39
92 39 40
186 92 40
186 40 185
57 186 185
57 185 61
84 17 18
84 18 83
84 83 182
84 182 181
91 181 182
91 182 106
91 106 43
91 43 146
57 61 146
57 146 43
0 11 72
0 72 37
39 37 72
39 72 73
40 39 73
40 73 74
40 74 184
40 184 185
185 184 76
185 76 61
16 17 84
16 84 85
85 84 181
85 181 180
180 181 91
180 91 90
77 90 91
77 91 146
76 77 146
76 146 61
72 11 12
72 12 38
73 72 38
73 38 41
74 73 41
74 41 42
184 74 42
184 42 183
76 184 183
76 183 62
15 16 85
15 85 86
86 85 180
86 180 179
179 180 90
179 90 89
96 89 90
96 90 77
62 96 77
62 77 76
38 12 13
38 13 82
41 38 82
41 82 81
42 41 81
41 81 80
183 42 80
183 80 191
183 191 62
13 14 87
13 87 82
82 87 178
82 178 81
81 178 88
81 88 80
80 88 95
80 95 191
78 191 95
14 15 86
14 86 87
87 86 179
87 179 178
88 178 179
88 179 89
88 89 96
88 96 95
62 95 96
367 365 364
364 365 379
364 379 394
394 379 378
394 378 395
369 395 378
369 378 400
396 369 400
396 400 377
396 377 152
396 152 175
447 366 352
447 352 345
366 401 376
366 376 352
401 435 433
401 433 376
435 367 416
435 416 433
416 367 364
416 364 434
364 394 430
364 430 434
430 394 395
430 395 431
395 369 262
395 262 431
369 396 428
369 428 262
428 396 175
428 175 199
340 345 346
346 345 352
346 352 280
352 376 411
352 411 280
376 433 416
376 416 411
427 411 416
427 416 434
436 427 434
436 434 432
432 434 430
432 430 422
422 430 431
422 431 424
418 424 431
418 431 262
421 418 262
421 262 428
200 421 428
200 428 199
261 340 346
261 346 448
346 280 347
346 347 448
330 347 280
330 280 425
425 280 411
425 411 427
426 425 427
426 427 436
322 426 436
322 436 410
410 436 432
410 432 287
432 422 273
432 273 287
422 335 273
422 424 335
424 406 335
424 418 406
406 418 421
406 421 313
313 421 200
