3.0834002664255573,425.8911080318498,(322, 302),(1, -3, 0)
3.1505288570685375,473.454598746162,(332, 318),(2, 0, 1)
3.0667890338415225,443.46324644054823,(488, 288),(11, -3, 3)
3.172054159648399,475.7201167537336,(467, 335),(9, 2, 5)
3.0951241751432734,442.56359203080603,(632, 306),(20, -1, 4)
3.1791826967032115,473.45241905332307,(582, 340),(17, 3, 6)
3.099923917069917,460.15035945926144,(729, 302),(30, 0, 5)
3.0793755562388734,507.4104013191136,(644, 270),(24, -1, 7)
3.082435364612614,505.52614284794936,(774, 262),(42, 0, 7)
3.0475248423674,575.8944475661307,(694, 226),(37, -2, 9)
3.0516182020490588,440.1877832381682,(118, 293),(-9, -5, 1)
3.194571219121142,465.7705544037652,(173, 368),(-6, 2, 1)
3.033639450989703,458.15990201333904,(-73, 275),(-20, -6, 1)
3.083351987233093,508.27299654305233,(9, 289),(-15, -3, 1)
3.0647288683954885,473.6058782426831,(-143, 286),(-29, -4, 0)
3.105102317068414,518.0413722780861,(-53, 293),(-22, -2, 0)
3.0671637570788883,508.68777077859414,(-155, 268),(-36, -3, -2)
3.109854226600325,633.73483094297,(-32, 271),(-31, -2, 0)
